" ","StudentComments","Rating","totalwords","Sentiment"
"3379","a good teacher","5","3","positive"
"3380","good teacher. cant complain.","3.75","4","positive"
"3381","he is a good teacher but needs improvement","2.46","8","negative"
"3382","he is good .","3.58","4","positive"
"3383","he is very good as a teacher","5","7","positive"
"3384","obviously she is moderately good teacher","5","6","positive"
"3385","ok","3.88","1","positive"
"3386","she is a good teacher","2.96","5","negative"
"3387","she is a very good faculty.","4.67","6","positive"
"3388","she is good but way of teaching is not so clear.questions pattern is so lenthey.","4.33","15","positive"
"3389","she is good.","3.25","3","neutral"
"3390","she is quite good.","3.96","4","positive"
"3391","v good","4.79","2","positive"
"3392","we need more prctical oriented learning","4.54","6","positive"
"3393","good","5","1","positive"
"3394","he is a good teacher.","4.25","5","positive"
"3395","he is a very good teacher.","4.83","6","positive"
"3396","he is a very good teacher.","5","6","positive"
"3397","he is good ; but he should br more friendly to the students. we afraid to talk friendly with him about our problems.","4.62","23","positive"
"3398","he is good but not friendly behave","3.96","7","positive"
"3399","he is nice teacher describe the concept with example","4.83","9","positive"
"3400","he is perfect in this course","3.58","6","positive"
"3401","he is very helpful","5","4","positive"
"3402","i don't want to say anything about this teacher.","2.5","9","negative"
"3403","i strongly admit that he is not even average as a teacher","1.96","12","negative"
"3404","she is a good guy","4.21","5","positive"
"3405","she is a good in behavior and help the to understand the topic","5","13","positive"
"3406","she is a good teacher","5","5","positive"
"3407","sir is very well in his teaching process.","3.58","8","positive"
"3408","we want his friendly behavior","2.5","5","negative"
"3409","fine","4.42","1","positive"
"3410","good","4.58","1","positive"
"3411","he is a good teacher.","3","5","neutral"
"3412","he is a very gentle person. we like him so.","3.75","10","positive"
"3413","he is fine","4.23","3","positive"
"3414","he is good","3.34","3","neutral"
"3415","he is good but not undestable.","3.17","6","neutral"
"3416","his teaching ability is very good.","4.13","6","positive"
"3417","she is a good teacher","3","5","neutral"
"3418","she is a good teacher.","4","5","positive"
"3419","sir is very good in his teaching process","5","8","positive"
"3420","he is a excillent teacher","5","5","positive"
"3421","he is a good faculty.","4.77","5","positive"
"3422","he is a very good teacher.","5","6","positive"
"3423","he is not so bad.some times he looks like rude.:)","2.79","10","negative"
"3424","he is pretty fast in giving lecturtes,he should give students opportunites to learn well.we can understant his lectures but he should be slow.","3.72","23","positive"
"3425","he knows very well how to make the students conceptually clear.","4.67","11","positive"
"3426","i like her way of teaching","2.88","6","negative"
"3427","simply excellent","4.67","2","positive"
"3428","good","5","1","positive"
"3429","he is a very good and attentive teacher","3.54","8","positive"
"3430","he is not a friendly .","2.96","6","negative"
"3431","not friendly,teaching technique is not effective towards student.","2.55","8","negative"
"3432","she is an excellent teacher after all consideration have taken.","4.75","10","positive"
"3433","very polite teacher","4.42","3","positive"
"3434","as a teacher he is not so bad and not so good. he cannot explain clearly","3.42","16","neutral"
"3435","good","3.65","1","positive"
"3436","good faculty but confusing.????????????????????","3.25","4","neutral"
"3437","he is a good teacher","2.85","5","negative"
"3438","he is a good teacher.","5","5","positive"
"3439","he is a very learned person","5","6","positive"
"3440","he is an ideal teacher,","4.67","5","positive"
"3441","he is very punctual about time & also lecture .","3.04","10","neutral"
"3442","he explains every topic very clearly and makes sure everyone understands","4.92","11","positive"
"3443","he is a good teacher","4.45","5","positive"
"3444","he is a good teacher.","4.13","5","positive"
"3445","he is a very good teacher.","4.54","6","positive"
"3446","he is not a good teacher. he cann't explain the topics properly.","2","12","negative"
"3447","he is very appropriate teacher for us and his teaching style realy good.","3.75","13","positive"
"3448","he's not good","2.13","3","negative"
"3449","inspire his students tobe a better person","3.5","7","positive"
"3450","new but good","2.91","3","negative"
"3451","nice person she is.","3.58","4","positive"
"3452","she is a good teacher.","4.33","5","positive"
"3453","she is good for us","4.5","5","positive"
"3454","sir is very good in his teaching process.","5","8","positive"
"3455","very good","5","2","positive"
"3456","as a new comer teacher she is more efficient and effective than other teacher.she is very helpful and make lesson easier to students.","5","23","positive"
"3457","good teacher is always good.","5","5","positive"
"3458","good teacher.","4.5","2","positive"
"3459","he is a good teacher.","4.67","5","positive"
"3460","he is a very good teacher.","4","6","positive"
"3461","he is good a teacher.","4.54","5","positive"
"3462","he needs to give more time to the weaker students","4.46","10","positive"
"3463","no comments.","1","2","negative"
"3464","she is a nice teacher and try to make understand her lecture to us about course.","5","16","positive"
"3465","she is not such a good teacher and her teaching policy is not good while student want. i think her has not great idea about om math. she is expart on theory but not math.","1.5","35","negative"
"3466","she is promt, understandable & good.","2.83","6","negative"
"3467","she is very excelant.","4.04","4","positive"
"3468","the teacher is too good for us. n he is very helpful to us.","3.79","14","positive"
"3469","well beheaved and very good in teaching.","3.54","7","positive"
"3470","excellent","4.96","1","positive"
"3471","good","5","1","positive"
"3472","he is a good teacher. but he dosen't smile. others is ok.","4.28","12","positive"
"3473","he is a very good teacher.","5","6","positive"
"3474","his attitude & teaching style is not good","1.46","8","negative"
"3475","no comments.","3.17","2","neutral"
"3476","she is a good teacher","3.23","5","neutral"
"3477","she is a good teacher","4.83","5","positive"
"3478","she is a nice teacher.","4.83","5","positive"
"3479","she is a very nice teacher","4.83","6","positive"
"3480","she is good but needs to improve a lot","2.92","9","negative"
"3481","she makes the course very easy to understand and she is very friendly towards the students.","4.33","16","positive"
"3482","good","5","1","positive"
"3483","he is a great actor. his teachig system is really good.","4","11","positive"
"3484","he is agood teachar but there is some problems which i think he need to take care soon.","4","18","positive"
"3485","he is perfect for our class.","3.79","6","positive"
"3486","he takes class good","2.69","4","negative"
"3487","it will be helpful for us if sir give us more time for exm. because it is a describtive subject.","5","20","positive"
"3488","very good","3.55","2","positive"
"3489","better to give us some suggestion before exam.","3.15","8","neutral"
"3490","give us sugestion before our exam","3.15","6","neutral"
"3491","good","3.54","1","positive"
"3492","he is a good teacher.","4.21","5","positive"
"3493","he is a nice teacher","4.67","5","positive"
"3494","he is a nice teacher but not so much.","3.33","9","neutral"
"3495","he is a very fine teacher . i like him very much .","3.67","13","positive"
"3496","he is good","5","3","positive"
"3497","he is quite a good person. his teaching quality is good.","4.79","11","positive"
"3498","he is well for english.he can make us understand.","4.83","9","positive"
"3499","he teach us in good way.","5","6","positive"
"3500","heis good teacher","3.23","3","neutral"
"3501","very good comunicative and excellent performer with the students","5","9","positive"
"3502","very good good good","3.83","4","positive"
"3503","ziaul hoq sir is a great sir i have seen.he make me understand about all chapters from the book. i like him very much.","4.71","24","positive"
"3504","all the above i say only one thing he is a genious in the aiub.","4.25","15","positive"
"3505","as a teacher i like and respect him a lot.he is a very smart and good teacher.our n\university needs this kind of well teacher to create good leaders.i wish him very very best of luck.","3.54","35","positive"
"3506","good in teaching.","5","3","positive"
"3507","good teacher","4.83","2","positive"
"3508","he is a good instructor because he allawys try to understand to the student as propurly every topics in lecture.","3.88","20","positive"
"3509","he is a good teacher.","5","5","positive"
"3510","he is good in pm","3.25","5","neutral"
"3511","i think he must maintainance his time.try to give a clear example. need to teach well.","3.08","16","neutral"
"3512","i think, he is one of the best teacher in aiub. i can teach here many things. and his teaching method is well.","3.75","23","positive"
"3513","boring subject!!!","3.5","2","positive"
"3514","good","4.83","1","positive"
"3515","good","3.42","1","neutral"
"3516","he is a good teacher","4.21","5","positive"
"3517","he is a nice teacher","4","5","positive"
"3518","he is sort of funny teacher.","5","6","positive"
"3519","he is the best teacher.","3.91","5","positive"
"3520","i like the way he teaches .he knows how to make a boring topic into an interesting topic !!!","3.54","19","positive"
"3521","i will say that he is a good teacher according to my consideration.","3.75","13","positive"
"3522","qulified teacher","4.71","2","positive"
"3523","he is a teacher but his voice command sometimes borring.","3.08","10","neutral"
"3524","he is a very good in teaching and allways take of students.","5","12","positive"
"3525","he is good.","4.5","3","positive"
"3526","he needs to improve speaking","3.29","5","neutral"
"3527","he's the perfect sir for this course.","4.49","7","positive"
"3528","nice, smart and co-operative teacher.","4.71","5","positive"
"3529","basically he is a nice teacher.","4.21","6","positive"
"3530","he is a good teacher","2.04","5","negative"
"3531","he is a nice teacher","2.13","5","negative"
"3532","he is a very good teacher.","5","6","positive"
"3533","he is an ok sir but it would be better if he would be more explanative about his subject.","3.96","19","positive"
"3534","he is generous,very friendly,punctual and good to see.","5","8","positive"
"3535","he is one of the best teacher i had seen before","3.46","11","neutral"
"3536","he is very funny to all but good in teaching.","4.38","10","positive"
"3537","hoq, md. ziaul is a good teacher.","4.66","7","positive"
"3538","make the question easy for studentgive good gradepoint","2.51","8","negative"
"3539","good in teaching.","5","3","positive"
"3540","good teacher.","4.17","2","positive"
"3541","he is actually a good teacher.","5","6","positive"
"3542","he is an good techer and make topics easy to the student.","5","12","positive"
"3543","he is one of the best teachers in aiub. he has got lots of out knowledge and he knows how to make his students learn more than just the study materials.","5","31","positive"
"3544","he is talented & try his best to solve all the question.","3.54","12","positive"
"3545","hi is a good teacher","5","5","positive"
"3546","in my own opinion - he is such good sir.his teaching system is good to understand the lecture.","4.71","18","positive"
"3547","it would be an improvement if the sir would come to classes on time and be more constructive about the topics.","3.75","21","positive"
"3548","no","3.92","1","positive"
"3549","simply good. but lecture notes should be modified","4.54","8","positive"
"3550","so bad all side.","2.92","4","negative"
"3551","good","5","1","positive"
"3552","he is very helpful ,considerable& good teacher.","4.63","7","positive"
"3553","he is a good teacher","2.83","5","negative"
"3554","he is a agood teacher","3.53","5","positive"
"3555","he is a good teacher","4.5","5","positive"
"3556","he is a good teacher,","4.33","5","positive"
"3557","he is always","5","3","positive"
"3558","he is the best teacher.he can teach us very well.we need him.","3.83","12","positive"
"3559","he is very responcible and sincear. he is very funny man. i like him very much.","4.5","16","positive"
"3560","he is very sincere and efficient teacher. i like him very much.","4.83","12","positive"
"3561","he never excuses the student though they had actual problem with prove","4.25","12","positive"
"3562","hi is a good teacher.","5","5","positive"
"3563","most of the time bed & some time good","1.58","9","negative"
"3564","most of the time he is late. and very difficult for us to get good grades from him . only 1 or 2 gets a+ out of about 40 students","3.49","30","neutral"
"3565","no commend","4.25","2","positive"
"3566","so so good","4.83","3","positive"
"3567","try to describe all main things thats why student can understand fully.","3.13","12","neutral"
"3568","very jolly minded teacher","3.5","4","positive"
"3569","very positive and fair. goes over the syllabus thoroughly.","4.92","9","positive"
"3570","he is a very good teacher.","5","6","positive"
"3571","all faculties are great","3.88","4","positive"
"3572","good","4.17","1","positive"
"3573","he is a good teacher.","5","5","positive"
"3574","he is good","2.54","3","negative"
"3575","he is good as a teacher","5","6","positive"
"3576","very good teacher","4.92","3","positive"
"3577","good","4.42","1","positive"
"3578","he is a nice teacher","3.75","5","positive"
"3579","he is a very good teacher","3.29","6","neutral"
"3580","he is really very friendly. and aslo very helpful.","5","9","positive"
"3581","i think he is a good teacher.","3.54","7","positive"
"3582","not bad","3.68","2","positive"
"3583","best teacher","4.83","2","positive"
"3584","good","3.29","1","neutral"
"3585","good teacher.","4.67","2","positive"
"3586","he is a good teacher .","3.25","6","neutral"
"3587","he is a good teacher","4.54","5","positive"
"3588","he is a good teacher.","3.83","5","positive"
"3589","he is a good teacher.","4.58","5","positive"
"3590","he is a good teacher.","3.33","5","neutral"
"3591","he is avery good teacher","5","5","positive"
"3592","he is not a very good teacher.sometimes he helps me.thats why he is medium teacher.","2.25","15","negative"
"3593","his teaching system is not very good.his lacture is same every semester.","3.83","12","positive"
"3594","not bad.","2.54","2","negative"
"3595","our sir is very friendly.he teach us very well.","4.21","9","positive"
"3596","reading style not very good","2.74","5","negative"
"3597","sir is very friendly.infact he is a great actor.we all like sir as a teacher.","4.92","15","positive"
"3598","he is an intellectual faculty.","3.04","5","neutral"
"3599","he is really very good.","4.84","5","positive"
"3600","he is the best teacher.he has good personality.he helps us to understand the subject well.","4.75","15","positive"
"3601","so good","4.83","2","positive"
"3602","very good cordinator and reflects his skills by giv ing specific attentions to students","5","14","positive"
"3603","he is a nice teacher.","3","5","neutral"
"3604","very helpful, very friendly & a very good human being.","4.71","10","positive"
"3605","we will miss him","4.83","4","positive"
"3606","a very good human being. may allah bless him.","4.58","9","positive"
"3607","he is a very perfect teacher as he shows him self.","4.67","11","positive"
"3608","he is good and helpful to each of us and try his best to make us understand","4.54","17","positive"
"3609","he is moderately well","2.96","4","negative"
"3610","he is the best teacher in aiub. as far as my concern.thats it","3.67","13","positive"
"3611","he's good","5","2","positive"
"3612","nice teacher i have ever seen.very much helpfull.","4.67","8","positive"
"3613","sir is very good","5","4","positive"
"3614","very good faculty.","3","3","neutral"
"3615","he is a well behaved and cooperative teacher.","4.83","8","positive"
"3616","he teaches the subject accordingly.","4.96","5","positive"
"3617","good teacher","4.83","2","positive"
"3618","he is a good teachetr of aiub.","4.5","7","positive"
"3619","he takes his class in nice way and he is co-operative too.","5","12","positive"
"3620","thanks for everything. good luck!","5","5","positive"
"3621","we are proud to have him with us.","4.67","8","positive"
"3622","a good teacher and quite knowledgeable in his subject","3.88","9","positive"
"3623","good","5","1","positive"
"3624","good","4.91","1","positive"
"3625","he is best","4.53","3","positive"
"3626","he is a good teacher with a good personality.","4.83","9","positive"
"3627","he is a good teacher.","2.83","5","negative"
"3628","he is good.","4.96","3","positive"
"3629","he is very nice and very good.","2.74","7","negative"
"3630","he's very friendly & good teacher.","5","6","positive"
"3631","not a good taecher in project management","3.71","7","positive"
"3632","tatally outstanding! knows himself very well.","4.83","6","positive"
"3633","good teature","4.83","2","positive"
"3634","he is a good teacher as well as well behavd person. i like him as a person","3.46","17","neutral"
"3635","he is a very godd teacher. he knows best how to give lesson to the stusent.","5","16","positive"
"3636","he is so so.","2.65","4","negative"
"3637","i have no any comments","3","5","neutral"
"3638","class notes can be made more clearly defined, instead of just giving points. everything else is done very efficiently.","4.58","19","positive"
"3639","he is a good teacher.","5","5","positive"
"3640","lecture materials should be more clear.","4.79","6","positive"
"3641","boss","4.71","1","positive"
"3642","good teacher","5","2","positive"
"3643","he is a very sincere teacher","4.48","6","positive"
"3644","he is always teach us attentively and carefully.he come to the class on time regularly it is very good habit of his behabior.","4.63","23","positive"
"3645","he is very much punchual","2.72","5","negative"
"3646","i like his teaching style.","5","5","positive"
"3647","ok","4.67","1","positive"
"3648","""he is a very good instructor"" questions of quiz and term exam should be more easier. it was too hard in the midterm. it should have a limitation regarding how much we will learn from our classes. ***the standard of quiz and exam's questions doesn't match with class lecture standard. exam standard is very high than class***please sir, make it easier.","3","61","neutral"
"3649","smart guy","4.5","2","positive"
"3650","he is very good teacher.i like him so much.this types of teacher for the aiub.","4.83","15","positive"
"3651","all the best luck for junayed sir","4.75","7","positive"
"3652","execeelent,polite,good and knowledgabe faculty","3.83","4","positive"
"3653","good","3.87","1","positive"
"3654","good","4.58","1","positive"
"3655","he is a good teacher","4.67","5","positive"
"3656","he is nice teacher.","5","4","positive"
"3657","he is very good for tqm , always given example real life & his work experience .so i understand easily","4.24","20","positive"
"3658","he tries his best to impart quality education.","4.21","8","positive"
"3659","honest","4.83","1","positive"
"3660","should explain the chapters more in depth.","5","7","positive"
"3661","sir is very nice and we are happy to get him.","3.04","11","neutral"
"3662","we eagarly need this kind of teacher.","4.67","7","positive"
"3663","good","4.65","1","positive"
"3664","he is a good lacturer.","4.67","5","positive"
"3665","he is a good teacher","4.83","5","positive"
"3666","he is a good teacher","3","5","neutral"
"3667","he is a very good teacher","5","6","positive"
"3668","he is good teacher","3","4","neutral"
"3669","he is very good teacher.","4.5","5","positive"
"3670","he is very my dear and also helpfull teacher.","5","9","positive"
"3671","honest & helpful","4.67","3","positive"
"3672","we are proud to have him with us.","4.83","8","positive"
"3673","we need more practical oriented teaching","4.67","6","positive"
"3674","we need more prctical oriented learning","4.17","6","positive"
"3675","you are a good teacher, but we dont no why you donot read in class. so bad .we are poor.please halp us.","5","22","positive"
"3676","he is a very good faculty","3.74","6","positive"
"3677","he is a very nice teacher.","4.75","6","positive"
"3678","he is a very nice teacher. he has nice personality.","3.88","10","positive"
"3679","he is good","4.46","3","positive"
"3680","no comments.","1","2","negative"
"3681","exam questions were not cleare.","4.63","5","positive"
"3682","he is a good teacher.","4.58","5","positive"
"3683","he is good.","4.63","3","positive"
"3684","i think student,s cannot understand his lecture properly.","2.42","8","negative"
"3685","very nice","5","2","positive"
"3686","he is a nice teacher","3.63","5","positive"
"3687","he is a very good teacher.","4.33","6","positive"
"3688","he should imply better things to teach us","2.58","8","negative"
"3689","need improvement to conduct with the student","3.75","7","positive"
"3690","very good teacher","4.83","3","positive"
"3691","he is a good teacher","4.51","5","positive"
"3692","he is a good teacher","4.63","5","positive"
"3693","he is a good teacher and always helpful to the business school's students.","5","13","positive"
"3694","he is a good teacher.","5","5","positive"
"3695","he is a great teacher","3.71","5","positive"
"3696","he is a very good teacher.","4.67","6","positive"
"3697","nice techer.","3.58","2","positive"
"3698","sometime questions are not that much clear, confusing.","3.46","8","neutral"
"3699","very confident and energetic and encourages students to be so.","4.17","10","positive"
"3700","a good teacher","3.63","3","positive"
"3701","good teacher","4.83","2","positive"
"3702","he is a great teacher","3.71","5","positive"
"3703","he is a moderate teacher. not bad.","3","7","neutral"
"3704","he is very good teacher.give good advice to students.","4.54","9","positive"
"3705","may allah bless u","5","4","positive"
"3706","there is a room for improvement.","4.83","6","positive"
"3707","good teacher","4.29","2","positive"
"3708","he is a good teacher. he well tries to make student userstand the lecture.","5","14","positive"
"3709","he is a nice guy but not so much active","3.54","10","positive"
"3710","he is overally a nice teacher, in this particular subject.","4.83","10","positive"
"3711","not a bad teacher at all.","4.21","6","positive"
"3712","good and nice faculty","3.96","4","positive"
"3713","good luck sir","4.83","3","positive"
"3714","he is very good for this subject.","5","7","positive"
"3715","no commentno comment","4.29","3","positive"
"3716","good","3.61","1","positive"
"3717","he is a good teacher.","2.92","5","negative"
"3718","he is a great teacher.","3.71","5","positive"
"3719","good","4.13","1","positive"
"3720","he is a very good teacher","4.51","6","positive"
"3721","he is a very good teacher.","3.75","6","positive"
"3722","he makes each and every subject matters easier and makes it understand to whole class.","4.54","15","positive"
"3723","no comments.","1","2","negative"
"3724","very good teacher. try to make the lecture more easy.","4.92","10","positive"
"3725","as a teacher he is nice to me.i want to wish him goodluck.","4.63","13","positive"
"3726","best teacher in aiub","4.34","4","positive"
"3727","good ability to understand the subject matter.","4.92","7","positive"
"3728","he is a good teacher.","4.25","5","positive"
"3729","he is a very good teacher.","5","6","positive"
"3730","he is a very nice person. i love to have respect for such person.","3.79","14","positive"
"3731","he is good teacher","3.83","4","positive"
"3732","he is not bad, but has to improve his teaching method.","2.71","11","negative"
"3733","heis a good teacher","4.5","4","positive"
"3734","aiub needs him and we also.","3.08","6","neutral"
"3735","althogh he is new but did well so far","4.33","9","positive"
"3736","as a new comer he is helpful and make the lesson easier.","5","12","positive"
"3737","good teacher","4.29","2","positive"
"3738","he is a good faculty.","4.83","5","positive"
"3739","he is a good teacher","3","5","neutral"
"3740","he is a good teacher. i understand his lecture.","4.47","9","positive"
"3741","he is a nice teacher for this course","4.13","8","positive"
"3742","he makes the class boaring by talking continuously, but could have make the class by giving breaks and by some other means.","2.92","22","negative"
"3743","inspire his students tobe a better person","3.92","7","positive"
"3744","not bad","3","2","neutral"
"3745","perfect for research .given real exaple.","4.21","6","positive"
"3746","a good teacher in some special courses.must be given courses related with sales/service/retailing kind of courses","3.63","16","positive"
"3747","he is a very good faculty.","4.67","6","positive"
"3748","he is fine","4.29","3","positive"
"3749","he is good for all the student.","4.46","7","positive"
"3750","i like him.cause he has moderate voice.& teaching capability is pretty good.","4.67","12","positive"
"3751","constructive","4.83","1","positive"
"3752","good","4.29","1","positive"
"3753","good teacher","4.83","2","positive"
"3754","he is a very friendly & good teacher","4.83","8","positive"
"3755","he is good","4.83","3","positive"
"3756","he is good teacher.","3","4","neutral"
"3757","he is good.","5","3","positive"
"3758","good teacher","5","2","positive"
"3759","he does not describe any topic depthly.","3.04","7","neutral"
"3760","he is a good teacher.","5","5","positive"
"3761","he is teacher of well behaved, helpful, freindly and understandable.","5","10","positive"
"3762","nice instructor","5","2","positive"
"3763","not good","1.63","2","negative"
"3764","ok","4.75","1","positive"
"3765","he is good.","5","3","positive"
"3766","he is overall a very honest guy.but sometimes he loses his intention.","3.26","12","neutral"
"3767","his strategy is really godd and he is really a friendly manner sir; i like him.","4.67","16","positive"
"3768","good","4.5","1","positive"
"3769","he is a nice teacher","1","5","negative"
"3770","he is a good teacher.","2.92","5","negative"
"3771","he is a good teacher.","5","5","positive"
"3772","he is a nice teacher","2.83","5","negative"
"3773","he is a very nice person","5","6","positive"
"3774","as good as he was","4.96","5","positive"
"3775","he is a good teacher, i hav ever seen & also friendly","4.67","12","positive"
"3776","he is the nicest man i have ever seen.","4.17","9","positive"
"3777","he should change his attitude toward students and try to reduce the gap of students and him","3.46","17","neutral"
"3778","he is a good teacher","5","5","positive"
"3779","he makes each and every subject matters easier and makes it understand to whole class.","4.54","15","positive"
"3780","he is a good teacher","5","5","positive"
"3781","he is a good teacher. i understand his lecture.","4.54","9","positive"
"3782","he is a great teacher. learning lecture very clearly.","4.75","9","positive"
"3783","he is a nice teacher but he should know that we are always afraid of him that should be removed.","4.92","20","positive"
"3784","he is great for the strategic management and he has real life experience.","4.91","13","positive"
"3785","he is nice and he tough also","4.54","7","positive"
"3786","he is a good sir","3.91","5","positive"
"3787","he is a good teacher","5","5","positive"
"3788","he is a very smart person. i believe that aiub got a very good faculty.","3.5","15","positive"
"3789","encouragious and polite","4.83","3","positive"
"3790","fantastic","4.25","1","positive"
"3791","good enough to teach us","4.92","5","positive"
"3792","good teacher","4.83","2","positive"
"3793","he is a good teacher.","5","5","positive"
"3794","he is a very good teacher.","5","6","positive"
"3795","sharear sir is the best performer in lecture procedure in our university .i think","4.83","14","positive"
"3796","he is a good faculty.","4.67","5","positive"
"3797","he is simply outstanding.","4.79","4","positive"
"3798","nothink to say","3.96","3","positive"
"3799","our teacher need more free with students.he should change his quiz system.","2.96","12","negative"
"3800","he is an excelant teacher.","3.83","5","positive"
"3801","he is good teacher.","3.13","4","neutral"
"3802","he is.","3","2","neutral"
"3803","i thing he is a really good faculty.","3.63","8","positive"
"3804","he is a great teacher.","3.63","5","positive"
"3805","he is very nice teacher. he is very attentive to students.","4.28","11","positive"
"3806","he is very student friendly","4.13","5","positive"
"3807","mr. munir is smart enough for our course and provides a good command with the students.","4.13","16","positive"
"3808","munir sir is an excellent faculty. he is punctual, understanding and above all fair. there should be more faculty like him at aiub","4.54","23","positive"
"3809","he is a great teacher.","3.71","5","positive"
"3810","he is a very freindly and good teacher","4.96","8","positive"
"3811","he is good","4","3","positive"
"3812","he is good.","4.75","3","positive"
"3813","the overall performance of munir sir is very good","4.29","9","positive"
"3814","he is a sir for whom respect comes from within.he is one person u can go to learn manners and no wonder,he is out tqm sir who has total quality in himself.","3.54","32","positive"
"3815","he is the best teacher that i found in the university. as a teacher he is the perfect one.","5","19","positive"
"3816","perfect teacher for this subjevt. discuss every thin in a esy way.he is a good teacher.","4.63","16","positive"
"3817","provides relevant course materials,and explains everything well.","4.88","7","positive"
"3818","he is a good teacher","3","5","neutral"
"3819","he is a symbol of honesty, i always appriciate his honesty.i wish he can go through.","4.29","16","positive"
"3820","nice teacher.","3.71","2","positive"
"3821","no doubt a good teacher","4.38","5","positive"
"3822","very good teacher","3.75","3","positive"
"3823","a very good teacher. he has the ability to understand the subject matter very easy. but should be make less diffcult question in the exam.","4.92","25","positive"
"3824","always provides the relevant course materials and maintains the attendance regularly.","4.83","11","positive"
"3825","good","4.08","1","positive"
"3826","good teacher","3","2","neutral"
"3827","he have to be more frankly in grading system.","3.67","9","positive"
"3828","he is a good teacher","4.95","5","positive"
"3829","he is a good teacher","4.63","5","positive"
"3830","good","4.92","1","positive"
"3831","good","3.25","1","neutral"
"3832","he is a good and sincere teacher. he has consideration for his students and tries to help them sincerely.","3.29","19","neutral"
"3833","he is a good teacher. (please sir feel free to provide grades.)","5","12","positive"
"3834","he is a nice person.","5","5","positive"
"3835","he is a nice teacher.","4.83","5","positive"
"3836","he is a good teacher","4","5","positive"
"3837","simply the best one!","5","4","positive"
"3838","sir is simply great!!!!!!!!!!!!!!!!","3.67","4","positive"
"3839","unfortunately he is leaving us, he is a good teacher.","4.67","10","positive"
"3840","well","4.92","1","positive"
"3841","he is a good techer.","4","5","positive"
"3842","he is a great teacher.","3.71","5","positive"
"3843","he is fine over all","4.67","5","positive"
"3844","not bad","2.2","2","negative"
"3845","very good teacher for project mgt.","4.29","6","positive"
"3846","gentleman","4.96","1","positive"
"3847","he is a excellent teacher","4.83","5","positive"
"3848","he is a good teacher","5","5","positive"
"3849","he is a good teacher","4.29","5","positive"
"3850","very good teacher","3.67","3","positive"
"3851","a very friendly teacher, provides the course materials.","4.83","8","positive"
"3852","good teacher","4.25","2","positive"
"3853","he is a good teacher, chole","4.5","6","positive"
"3854","he is a nice teacher . i think he is perfect course instructr for this teacher.","4.67","16","positive"
"3855","he is nice personality teacher.he has got all kinda criteria that a ideal teacher got","4.17","15","positive"
"3856","he is very good and friendly.with us.","4.55","7","positive"
"3857","he is very good.","4.88","4","positive"
"3858","overall he is a good teacher and we will be more happy if he provede more realistic examples and cases","4.21","20","positive"
"3859","good","3","1","neutral"
"3860","good teacher!","3.04","2","neutral"
"3861","he is a good teacher","5","5","positive"
"3862","he is a good teacher","3.71","5","positive"
"3863","he is the best","2.92","4","negative"
"3864","he shold be try to be fast","2.75","7","negative"
"3865","the teacher is very very good","3.67","6","positive"
"3866","good","2.58","1","negative"
"3867","good","2.42","1","negative"
"3868","good","3.46","1","neutral"
"3869","great teacher","4.47","2","positive"
"3870","he is a good teacher and sincere to students","3.38","9","neutral"
"3871","he is good in teaching .","4.17","6","positive"
"3872","he is not a good english man. he needs to aquire more fluency in english.","3.5","15","positive"
"3873","he is very polite in giving students the best marks and i believe that he is a great teacher who is capable of convincing the students to respect him truly by heart.","4.96","32","positive"
"3874","very old teaching style","3.29","4","neutral"
"3875","good","5","1","positive"
"3876","good","3","1","neutral"
"3877","he is a good teacher.","4.71","5","positive"
"3878","he is good for nothing. note:good timber does not grow with ease.the stronger the wind the stronger the trees.","1.33","19","negative"
"3879","he is impecable concerning his knowledge. good while explaining but doesnt continuously speak in english in the class. and he is very lenient.","3.5","23","positive"
"3880","helping teacher","4.75","2","positive"
"3881","great teacher","4.58","2","positive"
"3882","he can make understand the students his subject.","5","8","positive"
"3883","he is a good professor with profound knowledge on the subject matter. but he needs to be more compatible with weak students who need to ask questions and has to encourage students to ask questions if they have confusions.","3.79","39","positive"
"3884","he is a good teacher.","3.72","5","positive"
"3885","he is a good teacher.","3.63","5","positive"
"3886","he is a good teacher.","4.75","5","positive"
"3887","he is a nice teacher","4.79","5","positive"
"3888","he is avery good teacher","4.79","5","positive"
"3889","he is best.pleas help me","4.83","5","positive"
"3890","he is good but his concept is not good","3.08","9","neutral"
"3891","he is the best.he is my favourite techer.","3.83","8","positive"
"3892","tries to make students understand.","4.08","5","positive"
"3893","good","4.5","1","positive"
"3894","good","4.67","1","positive"
"3895","he is a good and very exerienced teacher,but i can not get him in his class.it's actually my fault","3.17","19","neutral"
"3896","he is a very good teacher.","5","6","positive"
"3897","he is a very good teacher.he is very suitable for us.he is a very sincear and take care the students.","4.71","20","positive"
"3898","his english is very poor.sometimes hs come late in the class room.","4.13","12","positive"
"3899","moderate","3.42","1","neutral"
"3900","the perfect professor.is concerned about his weaker students and tries to come down to their level to make the subject easier for them.","4.79","23","positive"
"3901","the teacher is very good","4.04","5","positive"
"3902","dear sir y well&y class is very wel other teacher .your study system is wel .","5","16","positive"
"3903","good","5","1","positive"
"3904","he is a good teacher.","4.83","5","positive"
"3905","he is good teacherin aiub.","4","5","positive"
"3906","her academic career is undoutable strong.","4.13","6","positive"
"3907","i think this teacher is good.","5","6","positive"
"3908","your teaching style is nice.","5","5","positive"
